BrugerId,Domæne,OprettetDato,RegistrantValideret,RegistrantLand,label
0x73F3706ED8070180BAEAED121F098FF2A5F4CA49165584E37A49413813D2609E,teknika.dk,2004-12-14,Nej,Danmark,popular
0x443AD5ABAAD4981A2AF02A88880A4C7EEBDFFF268056391B3898604FA5AEB7C6,technovision.dk,1997-01-31,Nej,Danmark,popular
0x0783B98C429A701E3AA490C842CD5484470768B6FE0277BF16F2C4B29F1315C9,mnwebdesign.dk,2007-05-25,Ja,Danmark,popular
0x843D7EC6FFEE301FB866DB95DBA6C60307EA26D3125EC84616E7F96747A1D52E,wanadoo.dk,2017-08-23,Nej,Danmark,popular
0x1DE3F3ABA1315A67FBF7EE3244A19EFB7146ACA074A70855CAE4F9E1102525FB,kuks.dk,2005-09-05,Nej,Danmark,popular
0x7673DAFEB4E37124BFDD7D8268C66D031E215670FD08D5D1E77D5ABA5F0C9AAF,kulturtidsskrifter.dk,2003-01-08,Nej,Danmark,popular
0xC73303DC8641D84B8629E6D82C716DAF84EA0C7122D48C7758A1D6C1257F35BC,bikezoo.dk,2017-09-19,Ja,Danmark,popular
0x0882FF050DD2F755BB4116B7F78CD042A7467B79F6A777302BCD766381489C39,panoramas.dk,2001-11-22,Nej,Danmark,popular
0x7A57436C869897655C6D273CC08A54EA4ECB6B46C6B4F1E76AE503D076381DA7,mastercook.dk,2022-09-05,Ja,Slovakiet,popular
0x92AB799DF196841F315B205A3BB23714D5A33FE97D66147B6FA90CAA8E2CDCF5,vinexpert.dk,2007-01-03,Nej,Danmark,popular
0xDBE37C06C9A168056CBB7322751BEABE6EF93C72C87E314D7DFB73E2E9E01690,groenjord.dk,1998-11-02,Ja,Danmark,popular
0xE1B33160FF71687647FE3581E0FD87A58A82C6F097856D5C83507B0A3C4A088A,highball.dk,2016-06-03,Ja,Danmark,popular
0xF629EA3ABA2340116EB972A67D2A846D91E8E7F25A0529B8B975FB8D98E1F9F1,flatrate.dk,1999-08-09,Ja,Danmark,popular
0x5E98144FC216B106E31337645947C028654D569BCFD396C9C3C93F2A148ABB42,ek.dk,2005-01-25,Nej,Danmark,popular
0xB8B3A6A440169DC401FEE957CE5A60B724534166BB3FD6C72B1640701DCA32BF,dkuug.dk,1987-10-29,Nej,Danmark,popular
0x30210B2E0D4677BF00AA9102254FF36295EF15072822F329555096814A285B75,catering-overblik.dk,2015-04-22,Ja,Danmark,popular
0x5CCA540ED2EAA7C4DB2E79B12662D4CBACEB61665941442D81DA1C15D2C03F32,cocktailsandcakes.dk,2016-04-28,Nej,Danmark,popular
0x948A40D25784BC7B17B542C029C312930F9A4024F01598AF20787825CF6E4E7A,danotec-import.dk,1999-02-26,Ja,Danmark,popular
0x8354E8E4F857A9E470094DFD1C3E6CE78CC238D2174EB20986F30CD8E16DFEC2,skatepro.dk,1998-10-02,Ja,Danmark,popular
0x4B0330B8E70F35B86349D07EC5DB35C511B777FC9A9A6C9468E9CB174340D370,fotokoch.dk,2019-01-21,Ja,Tyskland,popular
